number,rank,gainer_rank,loser_rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,id,image,date,last_updated
103,103,4.0,,Conflux,CFX,0.207442,7.66178,UP,1061918056,375631524.0,1.7,conflux-token,https://coin-images.coingecko.com/coins/images/13079/large/3vuYMbjN.png?1696512867,03-08-2025,2025-08-03T14:09:02.064Z
104,104,,,FLOKI,FLOKI,0.00010686,2.48267,UP,1032104033,118031900.0,0.00034495,floki,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,03-08-2025,2025-08-03T14:09:03.207Z
105,105,9.0,,Pump.fun,PUMP,0.00287292,5.69199,UP,1017309519,389243011.0,0.00681162,pump-fun,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,03-08-2025,2025-08-03T14:09:05.821Z
106,106,,,PayPal USD,PYUSD,0.99993,0.03313,UP,1012509566,23365216.0,1.021,paypal-usd,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,03-08-2025,2025-08-03T14:09:09.275Z
107,107,,,Wrapped BNB,WBNB,749.22,-0.78453,DOWN,1009331356,361678957.0,858.29,wbnb,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,03-08-2025,2025-08-03T14:09:08.236Z
108,108,,,Saros,SAROS,0.383033,3.67501,UP,1002166893,10085997.0,0.405788,saros-finance,https://coin-images.coingecko.com/coins/images/34594/large/saros-token-logo.png?1705476813,03-08-2025,2025-08-03T14:09:05.977Z
109,109,,,Binance Bridged USDC (BNB Smart Chain),USDC,0.99937,-0.13392,DOWN,997839839,177016148.0,1.031,binance-bridged-usdc-bnb-smart-chain,https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,03-08-2025,2025-08-03T14:09:01.350Z
110,110,,,Sonic,S,0.30043,-0.1838,DOWN,967643582,133768050.0,1.029,sonic-3,https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,03-08-2025,2025-08-03T14:09:06.473Z
111,111,,5.0,Jupiter Staked SOL,JUPSOL,181.88,-1.9365,DOWN,967364090,4197530.0,309.67,jupiter-staked-sol,https://coin-images.coingecko.com/coins/images/37482/large/jupsol.png?1714473916,03-08-2025,2025-08-03T14:09:06.039Z
112,112,,,PAX Gold,PAXG,3361.86,0.05507,UP,952727898,37207566.0,3518.57,pax-gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,03-08-2025,2025-08-03T14:09:09.353Z
113,113,,,The Graph,GRT,0.09104,1.06609,UP,948196979,34842836.0,2.84,the-graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,03-08-2025,2025-08-03T14:09:07.398Z
114,114,,,Immutable,IMX,0.494234,1.22769,UP,934400538,26134888.0,9.52,immutable-x,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,03-08-2025,2025-08-03T14:09:05.386Z
115,115,,,Fartcoin,FARTCOIN,0.930092,-1.17395,DOWN,930076492,152188471.0,2.48,fartcoin,https://coin-images.coingecko.com/coins/images/50891/large/fart.jpg?1729503972,03-08-2025,2025-08-03T14:09:03.012Z
116,116,,,Arbitrum Bridged WBTC (Arbitrum One),WBTC,113840.0,0.47046,UP,909454370,123224659.0,122778.0,arbitrum-bridged-wbtc-arbitrum-one,https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,03-08-2025,2025-08-03T14:09:00.920Z
117,117,,,PancakeSwap,CAKE,2.58,0.31655,UP,890102210,75736469.0,43.96,pancakeswap-token,https://coin-images.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1696512440,03-08-2025,2025-08-03T14:09:05.608Z
118,118,,,dogwifhat,WIF,0.889517,2.7011,UP,888462342,256461590.0,4.83,dogwifcoin,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,03-08-2025,2025-08-03T14:09:02.538Z
119,119,,,clBTC,CLBTC,114156.0,-0.4211,DOWN,881651642,7.56,129190.0,clbtc,https://coin-images.coingecko.com/coins/images/54164/large/clBTC.png?1738482999,03-08-2025,2025-08-03T07:09:16.160Z
120,120,,,SyrupUSDC,SYRUPUSDC,1.12,0.12769,UP,854675842,3059055.0,1.12,syrupusdc,https://coin-images.coingecko.com/coins/images/54658/large/SyrupUSDCO.png?1748850129,03-08-2025,2025-08-03T14:09:06.679Z
121,121,,,Ethereum Name Service,ENS,25.22,-0.47568,DOWN,837798701,63566341.0,83.4,ethereum-name-service,https://coin-images.coingecko.com/coins/images/19785/large/ENS.jpg?1727872989,03-08-2025,2025-08-03T14:09:02.931Z
122,122,,,Marinade Staked SOL,MSOL,211.79,-1.73962,DOWN,834401224,9264684.0,363.77,msol,https://coin-images.coingecko.com/coins/images/17752/large/mSOL.png?1696517278,03-08-2025,2025-08-03T14:09:08.787Z
123,123,,,Tether Gold,XAUT,3357.06,0.01575,UP,827559051,12106399.0,3530.16,tether-gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,03-08-2025,2025-08-03T14:09:07.125Z
124,124,,,Lido DAO,LDO,0.906109,1.19091,UP,812587659,61396808.0,7.3,lido-dao,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,03-08-2025,2025-08-03T14:09:08.256Z
125,125,,1.0,Kaia,KAIA,0.137576,-3.30107,DOWN,805664811,32391331.0,0.406698,kaia,https://coin-images.coingecko.com/coins/images/39901/large/KAIA.png?1724734368,03-08-2025,2025-08-03T14:09:05.955Z
126,126,,,Tezos,XTZ,0.757082,1.89103,UP,796861029,24015411.0,9.12,tezos,https://coin-images.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,03-08-2025,2025-08-03T14:09:07.268Z
127,127,,,Virtuals Protocol,VIRTUAL,1.21,1.96514,UP,795246694,159720646.0,5.07,virtual-protocol,https://coin-images.coingecko.com/coins/images/34057/large/LOGOMARK.png?1708356054,03-08-2025,2025-08-03T14:09:07.784Z
128,128,,,Vaulta,A,0.49706,0.41306,UP,786498396,47777278.0,0.778734,vaulta,https://coin-images.coingecko.com/coins/images/55616/large/Vaulta_CEX_Icon_Circle_-_cmc.png?1746859132,03-08-2025,2025-08-03T14:09:07.595Z
129,129,,,Theta Network,THETA,0.748882,1.30773,UP,748300422,22197330.0,15.72,theta-token,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,03-08-2025,2025-08-03T14:09:07.145Z
130,130,,,Super OETH,SUPEROETH,3487.28,-0.6795,DOWN,745581983,722681.0,4099.87,super-oeth,https://coin-images.coingecko.com/coins/images/39828/large/Super_OETH.png?1724208268,03-08-2025,2025-08-03T14:09:06.634Z
