name,symbol,current_price,price_change_24h,change_symbol,market_cap,ath,id,image,date,last_updated,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,price_change_percentage_24h_in_currency
Ethereum Classic,etc,19.69,-0.65226,DOWN,3011968565,167.09,ethereum-classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,03-08-2025,2025-08-03T14:09:02.715Z,44,3011968565,259198057.0,20.06,19.06,-0.65226,-20113644.01961279,-0.66336,152966708.2697282,152966708.2697282,210700000.0,-88.20919,2021-05-06T18:34:22.133Z,0.615038,3103.17077,2016-07-25T00:00:00.000Z,"{'times': 42.747306501919425, 'currency': 'usd', 'percentage': 4274.730650191942}",-0.652258879231773
NEAR Protocol,near,2.43,1.17701,UP,3008156828,20.44,near,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,03-08-2025,2025-08-03T14:09:09.245Z,45,3064280143,143144535.0,2.44,2.31,1.17701,29569280.0,0.99273,1240605901.0,1263751891.0,,-88.13521,2022-01-16T22:09:45.873Z,0.526762,360.34777,2020-11-04T16:09:15.137Z,,1.1770117235989328
Ondo,ondo,0.908742,2.28399,UP,2872170640,2.14,ondo-finance,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,03-08-2025,2025-08-03T14:09:09.388Z,46,9091715345,135396667.0,0.916508,0.850687,2.28399,65461524.0,2.33232,3159107529.0,10000000000.0,10000000000.0,-57.53821,2024-12-16T00:36:00.777Z,0.082171,1005.92412,2024-01-18T12:14:30.524Z,,2.283993323051817
Aptos,apt,4.2,0.38574,UP,2822697010,19.92,aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,03-08-2025,2025-08-03T14:09:03.901Z,47,4910956117,415589010.0,4.24,4.06,0.38574,7620578.0,0.27071,671493015.8633237,1168270176.292708,,-78.89697,2023-01-26T14:25:17.390Z,3.08,36.49634,2022-12-29T21:35:14.796Z,,0.3857431287601426
Pi Network,pi,0.362397,1.14416,UP,2819246980,2.99,pi-network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,03-08-2025,2025-08-03T14:09:09.324Z,48,4337303047,114016837.0,0.373766,0.341587,1.14416,25627921.0,0.91737,7770549573.647865,11954691651.76594,100000000000.0,-87.84525,2025-02-26T16:41:03.732Z,0.341568,6.31461,2025-08-02T06:38:50.431Z,,1.1441639461431659
OKB,okb,46.68,0.25364,UP,2801373098,73.8,okb,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,03-08-2025,2025-08-03T14:09:08.955Z,49,11016758530,12427927.0,46.94,45.06,0.25364,8391101.0,0.30044,60000000.0,235957685.3,300000000.0,-36.71543,2024-03-14T00:30:12.502Z,0.580608,7944.34835,2019-01-14T00:00:00.000Z,,0.2536408706219496
Internet Computer,icp,5.08,0.97253,UP,2721269448,700.65,internet-computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,03-08-2025,2025-08-03T14:09:05.454Z,50,2721269508,49578292.0,5.08,4.88,0.97253,28112680.0,1.04386,536221158.616345,536221170.4559205,,-99.27588,2021-05-10T16:05:53.653Z,2.87,77.08472,2023-09-22T00:29:57.369Z,,0.9725327051328734
Jito Staked SOL,jitosol,196.98,-1.82362,DOWN,2554500337,339.52,jito-staked-sol,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,03-08-2025,2025-08-03T14:09:05.779Z,51,2554500337,36715634.0,200.64,190.84,-1.82362,-50179015.11652756,-1.92649,12969753.01128506,12969753.01128506,,-41.98508,2025-01-19T11:21:54.080Z,0.57898,33920.623,2023-09-12T10:21:17.665Z,,-1.8236165284006751
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,0.0,DOWN,2411998201,1.0,blackrock-usd-institutional-digital-liquidity-fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,03-08-2025,2025-08-03T14:05:08.856Z,52,2411998201,0.0,1.0,1.0,0.0,0.0,0.0,2411998200.553854,2411998200.553854,,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,0.0
Mantle,mnt,0.701585,1.45119,UP,2361400783,1.54,mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,03-08-2025,2025-08-03T14:09:08.270Z,53,4363397723,172505409.0,0.709776,0.678317,1.45119,33032709.0,1.41871,3365794382.836841,6219316794.99,6219316794.99,-54.32392,2024-04-08T09:45:25.482Z,0.307978,128.20621,2023-10-18T02:50:46.942Z,,1.4511910810081246
